"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Открытие формы списка справочника ""Продукция ВетИС"" (ПродукцияВЕТИС)","1","0","Открытие формы списка справочника ""Продукция ВетИС"" (ПродукцияВЕТИС)","0"
"0","","0","Копирование элемента справочника ""Настройки проверки цен в заказах"" (НастройкиПроверкиЦенВЗаказах)","1","0","Копирование элемента справочника ""Настройки проверки цен в заказах"" (НастройкиПроверкиЦенВЗаказах)","0"
"0","","0","Открытие формы списка регистра сведений ""Записи планов проектов"" (CRM_ПланыПроектов)","1","0","Открытие формы списка регистра сведений ""Записи планов проектов"" (CRM_ПланыПроектов)","0"
"0","","0","Открытие формы обработки ""Передача реестров развозки в бухгалтерию"" (ЯРВЕТ_ПередачаРеестровРазвозкиВБухгалтерию)","1","0","Открытие формы обработки ""Передача реестров развозки в бухгалтерию"" (ЯРВЕТ_ПередачаРеестровРазвозкиВБухгалтерию)","0"
"0","","0","Открытие формы обработки ""Управление полнотекстовым поиском и извлечением текстов"" (УправлениеПолнотекстовымПоискомИИзвлечениемТекстов)","1","0","Открытие формы обработки ""Управление полнотекстовым поиском и извлечением текстов"" (УправлениеПолнотекстовымПоискомИИзвлечениемТекстов)","0"
"0","","0","Открытие формы списка регистра сведений ""Группы значений доступа"" (ГруппыЗначенийДоступа)","1","0","Открытие формы списка регистра сведений ""Группы значений доступа"" (ГруппыЗначенийДоступа)","0"
"0","","0","Открытие формы списка справочника ""Обработчики событий точек маршрута"" (CRM_ОбработчикиСобытийТочекМаршрута)","1","0","Открытие формы списка справочника ""Обработчики событий точек маршрута"" (CRM_ОбработчикиСобытийТочекМаршрута)","0"
"0","","0","Открытие формы регистра сведений ""Очередь сообщений обмена с офлайн оборудованием"" (ОчередьСообщенийОбменаСОфлайнОборудованием)","1","0","Открытие формы регистра сведений ""Очередь сообщений обмена с офлайн оборудованием"" (ОчередьСообщенийОбменаСОфлайнОборудованием)","0"
"0","","0","Открытие формы регистра сведений ""Регистрации подразделений"" (РегистрацииВНалоговомОргане)","1","0","Открытие формы регистра сведений ""Регистрации подразделений"" (РегистрацииВНалоговомОргане)","0"
"0","","0","Открытие формы справочника ""Дополнительные значения"" (ЗначенияСвойствОбъектов)","1","0","Открытие формы справочника ""Дополнительные значения"" (ЗначенияСвойствОбъектов)","0"
