"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1098","Открытие формы списка справочника ""Потенциальные клиенты"" (ЯРВЕТ_ПотенциальныеКлиенты)","","Wed Apr 23 12:06:01 MSK 2025","passed","Wed Apr 23 12:06:02 MSK 2025","","","",""
"","983","Открытие формы документа ""Визит в точку"" (ЯРВЕТ_ВизитВТочку)","","Wed Apr 23 12:46:45 MSK 2025","passed","Wed Apr 23 12:46:46 MSK 2025","","","",""
"","2378","Копирование элемента группы справочника ""Заметки"" (Заметки)","","Wed Apr 23 12:14:34 MSK 2025","passed","Wed Apr 23 12:14:37 MSK 2025","","","",""
"","1948","Открытие формы обработки ""Помощник заполнения настроек и справочников"" (ПомощникЗаполненияНастроекИСправочников)","","Wed Apr 23 13:41:43 MSK 2025","passed","Wed Apr 23 13:41:45 MSK 2025","","","",""
"","997","Открытие формы документа ""Планы доходов / расходов"" (ЯРВЕТ_ПланыДоходовРасходов)","","Wed Apr 23 12:46:55 MSK 2025","passed","Wed Apr 23 12:46:56 MSK 2025","","","",""
"","2752","Копирование элемента справочника ""Бизнес регионы логистика"" (БизнесРегионыЛогистика)","","Wed Apr 23 12:09:45 MSK 2025","passed","Wed Apr 23 12:09:48 MSK 2025","","","",""
"","1105","Открытие формы документа ""Акт о расхождениях после отгрузки"" (АктОРасхожденияхПослеОтгрузки)","","Wed Apr 23 12:43:42 MSK 2025","passed","Wed Apr 23 12:43:43 MSK 2025","","","",""
"","2610","Копирование элемента справочника ""Настройки заполнения планов расхода"" (НастройкиЗаполненияПлановРасхода)","","Wed Apr 23 12:33:11 MSK 2025","passed","Wed Apr 23 12:33:14 MSK 2025","","","",""
"","1187","Открытие формы документа ""Реализация услуг и прочих активов"" (РеализацияУслугПрочихАктивов)","","Wed Apr 23 12:46:12 MSK 2025","passed","Wed Apr 23 12:46:13 MSK 2025","","","",""
"","1161","Открытие формы отчета ""Динамика цен номенклатуры"" (ДинамикаИзмененияЦенНоменклатуры)","","Wed Apr 23 13:32:32 MSK 2025","passed","Wed Apr 23 13:32:33 MSK 2025","","","",""
"","2070","Открытие формы журнала документов ""Журнал платежей"" (Платежи)","","Wed Apr 23 13:12:21 MSK 2025","passed","Wed Apr 23 13:12:23 MSK 2025","","","",""
"","2221","Копирование элемента справочника ""Помещения"" (CRM_Помещения)","","Wed Apr 23 12:07:43 MSK 2025","passed","Wed Apr 23 12:07:45 MSK 2025","","","",""
"","948","Открытие формы регистра сведений ""Согласующие возврат от клиентов"" (СогласующиеВозвратОтКлиентов)","","Wed Apr 23 13:48:51 MSK 2025","passed","Wed Apr 23 13:48:52 MSK 2025","","","",""
"","970","Открытие формы списка справочника ""Карты маршрутов"" (CRM_КартыМаршрутов)","","Wed Apr 23 12:01:29 MSK 2025","passed","Wed Apr 23 12:01:30 MSK 2025","","","",""
"","1267","Открытие формы отчета ""Отклонения суммы взаиморасчетов по клиентам"" (ОтклоненияСуммыВзаиморасчетовПоКлиентам)","","Wed Apr 23 13:37:03 MSK 2025","passed","Wed Apr 23 13:37:05 MSK 2025","","","",""
"","1132","Открытие формы документа ""Корректировка регистров"" (КорректировкаРегистров)","","Wed Apr 23 12:45:16 MSK 2025","passed","Wed Apr 23 12:45:17 MSK 2025","","","",""
"","1258","Открытие формы документа ""Выкуп возвратной тары у поставщика"" (ВыкупВозвратнойТарыУПоставщика)","","Wed Apr 23 12:44:07 MSK 2025","passed","Wed Apr 23 12:44:08 MSK 2025","","","",""
"","1018","Открытие формы списка справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","","Wed Apr 23 12:04:31 MSK 2025","passed","Wed Apr 23 12:04:32 MSK 2025","","","",""
"","1347","Открытие формы отчета ""Сравнение продаж двух периодов"" (ПродажиСравнениеДвухПериодов)","","Wed Apr 23 13:37:33 MSK 2025","passed","Wed Apr 23 13:37:34 MSK 2025","","","",""
"","976","Открытие формы документа ""Ордер на перемещение WMS"" (ОрдерНаПеремещениеWMS)","","Wed Apr 23 12:47:27 MSK 2025","passed","Wed Apr 23 12:47:28 MSK 2025","","","",""
"","1418","Открытие формы документа ""Перемещение товаров"" (ПеремещениеТоваров)","","Wed Apr 23 12:45:35 MSK 2025","passed","Wed Apr 23 12:45:36 MSK 2025","","","",""
"","1127","Открытие формы списка документа ""Корректировка регистров"" (КорректировкаРегистров)","","Wed Apr 23 12:40:49 MSK 2025","passed","Wed Apr 23 12:40:50 MSK 2025","","","",""
"","954","Открытие формы списка регистра сведений ""Настройка распределения затрат в реестрах развозки"" (НастройкаРаспределенияЗатратВРеестрахРазвозки)","","Wed Apr 23 13:46:08 MSK 2025","passed","Wed Apr 23 13:46:09 MSK 2025","","","",""
"","1039","Открытие формы списка справочника ""Значения показателей сегментирования"" (ЗначенияПоказателейСегментирования)","","Wed Apr 23 12:06:36 MSK 2025","passed","Wed Apr 23 12:06:37 MSK 2025","","","",""
"","999","Открытие формы обработки ""Подбор партнеров по отбору"" (ПодборПартнеровПоОтбору)","","Wed Apr 23 13:41:46 MSK 2025","passed","Wed Apr 23 13:41:47 MSK 2025","","","",""
"","1144","Открытие формы отчета ""Лояльность клиентов (XYZ)"" (АнализЛояльностиКлиентовXYZ)","","Wed Apr 23 13:15:46 MSK 2025","passed","Wed Apr 23 13:15:48 MSK 2025","","","",""
"","2305","Копирование элемента справочника ""Серии номенклатуры"" (СерииНоменклатуры)","","Wed Apr 23 12:22:20 MSK 2025","passed","Wed Apr 23 12:22:23 MSK 2025","","","",""
"","1089","Открытие формы списка регистра сведений ""Данные маркетплейсов"" (ДанныеМаркетплейсов)","","Wed Apr 23 13:45:50 MSK 2025","passed","Wed Apr 23 13:45:51 MSK 2025","","","",""
"","927","Открытие формы списка регистра сведений ""Разделенные регламентные задания"" (РазделенныеРегламентныеЗадания)","","Wed Apr 23 13:44:28 MSK 2025","passed","Wed Apr 23 13:44:29 MSK 2025","","","",""
"","1099","Открытие формы списка справочника ""Группы настроек фин. учета расчетов"" (ГруппыФинансовогоУчетаРасчетов)","","Wed Apr 23 12:02:57 MSK 2025","passed","Wed Apr 23 12:02:58 MSK 2025","","","",""
"","1106","Открытие формы отчета ""Неоформленные недостачи и излишки товаров"" (ОформлениеИзлишковНедостачТоваров)","","Wed Apr 23 13:37:06 MSK 2025","passed","Wed Apr 23 13:37:07 MSK 2025","","","",""
"","1041","Открытие формы списка регистра сведений ""Связи документов (ЯРВЕТ)"" (ЯРВЕТ_СвязиДокументов)","","Wed Apr 23 13:45:19 MSK 2025","passed","Wed Apr 23 13:45:20 MSK 2025","","","",""
"","1232","Открытие формы списка документа ""Товарно-транспортная накладная ЕГАИС"" (ТоварноТранспортнаяНакладнаяЕГАИС)","","Wed Apr 23 12:42:41 MSK 2025","passed","Wed Apr 23 12:42:43 MSK 2025","","","",""
"","2317","Копирование элемента справочника ""Договоры с контрагентами"" (ДоговорыКонтрагентов)","","Wed Apr 23 12:13:31 MSK 2025","passed","Wed Apr 23 12:13:34 MSK 2025","","","",""
"","1043","Открытие формы списка справочника ""Страны мира"" (СтраныМира)","","Wed Apr 23 12:05:38 MSK 2025","passed","Wed Apr 23 12:05:39 MSK 2025","","","",""
"","1023","Открытие формы списка справочника ""Филиалы"" (Филиалы)","","Wed Apr 23 12:05:56 MSK 2025","passed","Wed Apr 23 12:05:57 MSK 2025","","","",""
"","1091","Открытие формы списка документа ""Согласование на выезд"" (АйТи_СогласованиеНаВыезд)","","Wed Apr 23 12:42:43 MSK 2025","passed","Wed Apr 23 12:42:44 MSK 2025","","","",""
"","10431","Копирование элемента справочника ""Номенклатура"" (Номенклатура)","","Wed Apr 23 12:17:59 MSK 2025","passed","Wed Apr 23 12:18:10 MSK 2025","","","",""
"","1175","Открытие формы списка документа ""Отчет по комиссии между организациями о списании"" (ОтчетПоКомиссииМеждуОрганизациямиОСписании)","","Wed Apr 23 12:41:25 MSK 2025","passed","Wed Apr 23 12:41:26 MSK 2025","","","",""
"","2288","Копирование элемента справочника ""Группы рассылок и оповещений"" (ГруппыРассылокИОповещений)","","Wed Apr 23 12:13:09 MSK 2025","passed","Wed Apr 23 12:13:11 MSK 2025","","","",""
"","990","Открытие формы списка документа ""Корректировка расходов (ЯРВЕТ)"" (ЯРВЕТ_КорректировкаРасходов)","","Wed Apr 23 12:42:48 MSK 2025","passed","Wed Apr 23 12:42:49 MSK 2025","","","",""
"","1147","Открытие формы списка документа ""Отчет комиссионера о списании"" (ОтчетКомиссионераОСписании)","","Wed Apr 23 12:41:16 MSK 2025","passed","Wed Apr 23 12:41:18 MSK 2025","","","",""
"","932","Открытие формы списка регистра сведений ""Предприятия зон ответственности пользователей ВетИС"" (ПредприятияЗонОтветственностиВЕТИС)","","Wed Apr 23 13:44:39 MSK 2025","passed","Wed Apr 23 13:44:40 MSK 2025","","","",""
"","954","Открытие формы документа ""Распределение внутренних затрат"" (ЯРВЕТ_РаспределениеВнутреннихЗатрат)","","Wed Apr 23 12:46:53 MSK 2025","passed","Wed Apr 23 12:46:53 MSK 2025","","","",""
"","2674","Копирование элемента группы справочника ""Эквайринговые терминалы"" (ЭквайринговыеТерминалы)","","Wed Apr 23 12:35:09 MSK 2025","passed","Wed Apr 23 12:35:11 MSK 2025","","","",""
"","1649","Открытие формы документа ""Расходный кассовый ордер"" (РасходныйКассовыйОрдер)","","Wed Apr 23 12:46:08 MSK 2025","passed","Wed Apr 23 12:46:09 MSK 2025","","","",""
"","2304","Копирование элемента справочника ""Виды связей между физическими лицами"" (ВидыСвязейМеждуФизЛицами)","","Wed Apr 23 12:12:02 MSK 2025","passed","Wed Apr 23 12:12:04 MSK 2025","","","",""
"","1218","Открытие формы списка регистра сведений ""Значения групп доступа по умолчанию"" (ЗначенияГруппДоступаПоУмолчанию)","","Wed Apr 23 13:42:51 MSK 2025","passed","Wed Apr 23 13:42:52 MSK 2025","","","",""
"","2574","Копирование элемента группы справочника ""Маршруты"" (апрМаршруты)","","Wed Apr 23 12:09:13 MSK 2025","passed","Wed Apr 23 12:09:15 MSK 2025","","","",""
"","933","Открытие формы регистра сведений ""Права доступа пользователей ВетИС"" (ПраваДоступаПользователейВЕТИС)","","Wed Apr 23 13:47:42 MSK 2025","passed","Wed Apr 23 13:47:43 MSK 2025","","","",""
"","1017","Открытие формы списка документа ""Произвольный электронный документ"" (ПроизвольныйЭД)","","Wed Apr 23 12:42:56 MSK 2025","passed","Wed Apr 23 12:42:57 MSK 2025","","","",""
"","923","Открытие формы регистра сведений ""Кэш состояний контрагентов ФНС"" (КэшСостоянийКонтрагентовФНС)","","Wed Apr 23 13:47:09 MSK 2025","passed","Wed Apr 23 13:47:10 MSK 2025","","","",""
"","967","Открытие формы списка регистра сведений ""Замеры операции статистики"" (ЗамерыОперацииСтатистики)","","Wed Apr 23 13:42:48 MSK 2025","passed","Wed Apr 23 13:42:49 MSK 2025","","","",""
"","92714","Печать элемента документа ""Перемещение товаров"" (ПеремещениеТоваров)","","Wed Apr 23 12:58:28 MSK 2025","passed","Wed Apr 23 13:00:01 MSK 2025","","","",""
"","1028","Открытие формы документа ""Операция по платежной карте"" (ОперацияПоПлатежнойКарте)","","Wed Apr 23 12:45:07 MSK 2025","passed","Wed Apr 23 12:45:08 MSK 2025","","","",""
"","1035","Открытие формы списка справочника ""Виды запасов"" (ВидыЗапасов)","","Wed Apr 23 12:02:23 MSK 2025","passed","Wed Apr 23 12:02:24 MSK 2025","","","",""
"","2434","Копирование элемента справочника ""Шаблоны заданий очереди"" (ШаблоныЗаданийОчереди)","","Wed Apr 23 12:34:29 MSK 2025","passed","Wed Apr 23 12:34:31 MSK 2025","","","",""
"","1476","Открытие формы отчета ""ABC/XYZ - анализ номенклатуры"" (ABCXYZАнализНоменклатуры)","","Wed Apr 23 13:12:58 MSK 2025","passed","Wed Apr 23 13:12:59 MSK 2025","","","",""
"","974","Открытие формы регистра сведений ""Настройки транспорта обмена областей данных"" (НастройкиТранспортаОбменаОбластейДанных)","","Wed Apr 23 13:47:28 MSK 2025","passed","Wed Apr 23 13:47:29 MSK 2025","","","",""
"","53142","Печать элемента документа ""Поступление товаров и услуг"" (ПоступлениеТоваровУслуг)","","Wed Apr 23 13:01:03 MSK 2025","passed","Wed Apr 23 13:01:56 MSK 2025","","","",""
"","939","Открытие формы списка справочника ""Лицензии поставщиков на алкогольную и спиртосодержащую продукцию"" (ЛицензииПоставщиковАлкогольнойПродукции)","","Wed Apr 23 12:03:52 MSK 2025","passed","Wed Apr 23 12:03:53 MSK 2025","","","",""
"","1296","Открытие формы списка справочника ""Версии файлов"" (ВерсииФайлов)","","Wed Apr 23 12:02:19 MSK 2025","passed","Wed Apr 23 12:02:20 MSK 2025","","","",""
