Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   3148 Services                   0      9В 144 K
svchost.exe                   3176 Services                   0     12В 976 K
svchost.exe                   3256 Services                   0      7В 956 K
svchost.exe                   3332 Services                   0     10В 896 K
svchost.exe                   3636 Services                   0     11В 428 K
svchost.exe                   3644 Services                   0      8В 212 K
svchost.exe                   3664 Services                   0      8В 544 K
svchost.exe                   3672 Services                   0     13В 140 K
svchost.exe                   3708 Services                   0     14В 748 K
svchost.exe                   3716 Services                   0     33В 752 K
svchost.exe                   3832 Services                   0     12В 920 K
svchost.exe                   3884 Services                   0      7В 220 K
svchost.exe                   3976 Services                   0     21В 768 K
svchost.exe                   4012 Services                   0      6В 988 K
svchost.exe                   4072 Services                   0     20В 296 K
svchost.exe                   4112 Services                   0     15В 532 K
svchost.exe                   4120 Services                   0      5В 900 K
svchost.exe                   4180 Services                   0     23В 732 K
svchost.exe                   4204 Services                   0     12В 064 K
svchost.exe                   4224 Services                   0     11В 892 K
svchost.exe                   4264 Services                   0      7В 228 K
svchost.exe                   4480 Services                   0      9В 164 K
svchost.exe                   4560 Services                   0     13В 480 K
svchost.exe                   4876 Services                   0     13В 328 K
svchost.exe                   6164 Services                   0      7В 688 K
svchost.exe                   6724 Services                   0     46В 884 K
svchost.exe                   7224 Services                   0     12В 308 K
svchost.exe                   7396 Services                   0     14В 828 K
svchost.exe                   7936 Services                   0     17В 952 K
svchost.exe                   7968 Services                   0      8В 524 K
svchost.exe                   9136 RDP-Tcp#0                  2     16В 272 K
svchost.exe                   9208 RDP-Tcp#0                  2     32В 040 K
svchost.exe                   9304 Services                   0     12В 824 K
svchost.exe                   9368 Services                   0      8В 676 K
svchost.exe                   9388 RDP-Tcp#0                  2     15В 772 K
svchost.exe                   9988 Services                   0     11В 128 K
svchost.exe                  10372 Services                   0      6В 712 K
svchost.exe                  11124 RDP-Tcp#0                  2     11В 776 K
System                           4 Services                   0        128 K
System Idle Process              0 Services                   0          8 K
taskhostw.exe                 9536 RDP-Tcp#0                  2     13В 848 K
tasklist.exe                  2844 RDP-Tcp#0                  2      9В 248 K
TCPSVCS.EXE                   4020 Services                   0      4В 892 K
TextInputHost.exe            10124 RDP-Tcp#0                  2     44В 748 K
tvnserver.exe                 4128 Services                   0      8В 504 K
tvnserver.exe                 9016 RDP-Tcp#0                  2      7В 240 K
vds.exe                       6260 Services                   0     11В 548 K
vmcompute.exe                 8020 Services                   0      8В 004 K
vmms.exe                      2636 Services                   0     26В 004 K
VSSVC.exe                     2144 Services                   0     10В 164 K
wininit.exe                    860 Services                   0      6В 620 K
winlogon.exe                   932 Console                    1      9В 432 K
winlogon.exe                  2220 RDP-Tcp#0                  2      9В 656 K
WmiPrvSE.exe                  8896 Services                   0     11В 172 K
WUDFHost.exe                 11220 Services                   0     20В 152 K
