Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   3848 Services                   0     33В 464 K
svchost.exe                   3868 Services                   0      8В 540 K
svchost.exe                   4012 Services                   0      7В 176 K
svchost.exe                   4080 Services                   0     12В 828 K
svchost.exe                   4296 Services                   0      7В 200 K
svchost.exe                   4312 Services                   0      9В 172 K
svchost.exe                   4356 Services                   0     21В 624 K
svchost.exe                   4400 Services                   0     13В 604 K
svchost.exe                   4492 Services                   0     20В 172 K
svchost.exe                   4624 Services                   0      7В 028 K
svchost.exe                   4676 Services                   0      5В 868 K
svchost.exe                   4776 Services                   0     12В 952 K
svchost.exe                   4796 Services                   0     11В 888 K
svchost.exe                   5424 Services                   0     13В 368 K
svchost.exe                   6984 Services                   0      7В 668 K
svchost.exe                   7656 Services                   0     45В 972 K
svchost.exe                   7700 Services                   0      8В 556 K
svchost.exe                   8316 Services                   0     14В 776 K
svchost.exe                   9344                            2     16В 196 K
svchost.exe                   9388                            2     31В 916 K
svchost.exe                   9600 Services                   0      8В 480 K
svchost.exe                   9612 Services                   0     12В 524 K
svchost.exe                   9924 Services                   0     13В 488 K
svchost.exe                   9956 Services                   0      8В 700 K
svchost.exe                  10660 Services                   0      6В 584 K
svchost.exe                  10880 Services                   0     12В 452 K
svchost.exe                  11292 Services                   0     12В 404 K
svchost.exe                  11420                            2     15В 792 K
svchost.exe                  11536 Services                   0     15В 260 K
svchost.exe                  12128 Services                   0     29В 036 K
svchost.exe                  12228 Services                   0     15В 644 K
System                           4 Services                   0        156 K
System Idle Process              0 Services                   0          8 K
taskhostw.exe                 9824                            2     13В 564 K
tasklist.exe                 10140                            2      9В 248 K
TCPSVCS.EXE                   4304 Services                   0      4В 864 K
TextInputHost.exe            10392                            2     45В 108 K
tvnserver.exe                 4740 Services                   0      8В 484 K
tvnserver.exe                 7640                            2      7В 452 K
vds.exe                       6204 Services                   0     11В 512 K
vmcompute.exe                 6564 Services                   0      7В 980 K
vmms.exe                      2744 Services                   0     27В 696 K
VSSVC.exe                     2236 Services                   0     10В 104 K
wininit.exe                    864 Services                   0      6В 588 K
winlogon.exe                   936 Console                    1      9В 380 K
winlogon.exe                  2304                            2      9В 444 K
WmiPrvSE.exe                  7440 Services                   0     11В 404 K
